Usename,Time,Like_count,Floor_number,Sourse,Comments
-菜困的猫,Sat Mar 14 00:39:55 +0800 2020,3,5573,,"""“别着急回应所有的声音，你的作品就是舞台”蔡PD"""
yominalur,Fri Mar 13 16:08:21 +0800 2020,2,5476,,"""//@庄庄要开心:有的男生到现在还会说 我就觉得很low...//@抱月亮睡:“喜欢唱 跳 rap 篮球“小蔡一直说的都是“喜欢篮球“恶意鬼畜剪辑可以使一个人面目全非，让有的人还不认识他却已经开始讨厌他。男生喜欢打球是再正常不过的，恭喜小蔡终于能笑着说出来"""
小阿狸吃佳蹦脆的橙子味饼干,Fri Mar 13 15:00:13 +0800 2020,1,5462,,"""这句话一下子把我圈粉了！"""
胖胖的烟火嘿嘿嘿,Fri Mar 13 08:26:11 +0800 2020,1,5115,,"""一掀而过"""
胖胖的烟火嘿嘿嘿,Fri Mar 13 08:25:55 +0800 2020,1,5114,,"""挺好的"""
精晶姑娘,Fri Mar 13 06:36:42 +0800 2020,1,4881,,"""蔡徐坤学长真是太暖心了，好羡慕这些参赛小姐姐"""
痞咖囚异灵画手,Fri Mar 13 05:54:56 +0800 2020,4,4844,,"""肖战成功接了他的黑锅"""
Vegetave,Fri Mar 13 03:34:00 +0800 2020,4,4755,,"""说实话了解完了才知道蔡徐坤是真的强啊 简直是打败资本的超级案例 强到让资本没话说不敢操纵名次"""
啵啾志龙,Fri Mar 13 03:32:43 +0800 2020,2,4752,,"""“未知全貌，不予置评”。"""
阿婳1015,Fri Mar 13 03:29:29 +0800 2020,2,4746,,"""准备明天看这个节目，看了些片段，蔡徐坤很温柔礼貌，果然这么多人喜爱是有原因的。想继续了解他了(●°u°●) 」我看粉丝都在心疼他，我去年也开始追星，能理解了。"""
下雨75489,Fri Mar 13 00:31:36 +0800 2020,1,4371,,"""希望他能慢慢放下"""
甜味_六公主,Thu Mar 12 23:43:59 +0800 2020,1,3915,,"""很有情商也很暖心的蔡徐坤"""
田甜的小坤-,Thu Mar 12 22:54:18 +0800 2020,2,3297,,"""#蔡徐坤 打篮球只是我的爱好# 我看到这一段心都揪了一下  还是很难过"""
甜味_六公主,Thu Mar 12 22:51:39 +0800 2020,1,3226,,"""每个人都有自己喜欢的东西，都值得被尊重"""
丸子-南,Thu Mar 12 22:35:21 +0800 2020,1,3037,,"""陆柯燃长得好像我们的设计老师  帅帅的女生   声音也好像"""
一心向阳_坤,Thu Mar 12 22:10:06 +0800 2020,1,2598,,"""不管这个世界怎么样，我们都要永远善良"""
蔡小葵的亲生姐姐粉,Thu Mar 12 22:07:27 +0800 2020,4,2487,,"""经历了多少 才能这么云淡风轻说出篮球是他的爱好"""
先吃口菜,Thu Mar 12 22:05:38 +0800 2020,1,2354,,"""坚持热爱"""
菜困你过来一下,Thu Mar 12 22:02:36 +0800 2020,2,2180,,"""“温柔的人通常都是这样诞生的，他们亲身经历过许多难过后，决定让其他人不再像自己这般难过，这份血淋淋的体贴，人们称它为温柔”"""
郁夏笑笑,Thu Mar 12 21:59:28 +0800 2020,1,1914,,"""感觉他很温柔，其实看着网上恶搞他也是挺心疼的，明明也没做伤害别人的事，尤其一些人，老是在微博评论里诅咒他"""
梵妫,Thu Mar 12 21:42:23 +0800 2020,1,1403,,"""终究是笑着去面对心里的伤了 黑子们 你们永远不知道我有多恨你们"""
biubiu一菜,Thu Mar 12 21:35:44 +0800 2020,1,1258,,"""每个人都有自己的爱好，很棒希望坤坤能够在内心深处释然，继续热爱"""
坤坤的葵花宝典,Thu Mar 12 21:30:25 +0800 2020,1,1013,,"""所以说那些人一天天的胡说八道，还不如去看看坤坤的舞台，去听听坤坤的歌，他真的是一个特别好的人，特别善良，懂礼貌。真的是别着急回应其他的声音，你的作品就是舞台"""
