Usename,Time,Like_count,Floor_number,Sourse,Comments
徐徐入困,Sun Mar 15 13:40:46 +0800 2020,2,496,,"""我的嘛呀！！！蔡pd好可爱！！！！"""
女友在线冲浪,Sun Mar 15 13:40:37 +0800 2020,2,474,,"""我来了"""
小狮子的蔡小葵,Sun Mar 15 13:40:34 +0800 2020,2,463,,"""蔡徐坤的专访呀，快来看呀，蔡pd超有料呀，又温柔又有原则"""
谢了个你的好意,Sun Mar 15 13:40:22 +0800 2020,2,426,,"""太可爱了坤"""
墨冉哥哥,Sun Mar 15 13:39:45 +0800 2020,2,350,,"""有梗又温柔的蔡pd，我可以"""
拜拜我的三十斤肉肉_,Sun Mar 15 13:39:44 +0800 2020,2,347,,"""水桶腰变成小蛮腰我终于成为了小腰精"""
August落落,Sun Mar 15 13:39:40 +0800 2020,2,341,,"""蔡徐坤冲呀，哈哈哈哈"""
小葵花养护员,Sun Mar 15 13:39:33 +0800 2020,2,327,,"""蔡PD我来了我来了"""
ay坤哥厉害了,Sun Mar 15 13:35:49 +0800 2020,2,120,,"""新物料！新采访！我来啦"""
不要怼崽崽,Sun Mar 15 13:35:43 +0800 2020,2,112,,"""蔡pd我来了！"""
纸飞机__0802,Sun Mar 15 13:35:32 +0800 2020,2,94,,"""蔡PD啊，新物料"""
qpencil,Sun Mar 15 13:34:31 +0800 2020,2,16,,"""什么好东西"""
qpencil,Sun Mar 15 13:34:27 +0800 2020,2,13,,"""啊啊啊 我来啦"""
冒蔡酸辣粉,Sun Mar 15 14:04:05 +0800 2020,3,4206,,"""哈哈哈蔡徐坤怎么这么会嘚吧嘚"""
侃侃而谈xiang,Sun Mar 15 14:03:50 +0800 2020,3,4177,,"""新采访"""
August微光,Sun Mar 15 13:49:08 +0800 2020,2,2269,,"""严格又温柔的蔡PD"""
跟蔡徐坤有关的粉丝名都取完了,Sun Mar 15 13:49:08 +0800 2020,2,2264,,"""专业，严厉，有实力 温柔，绅士，有原则的蔡PD#青2青春制作人代表蔡徐坤#"""
涐是浮烟染,Sun Mar 15 23:11:54 +0800 2020,2,10044,,"""他不知道自己土，你们不要拆穿他嘛"""
璇子ikun,Sun Mar 15 23:03:53 +0800 2020,2,10023,,"""我们蔡PD明明很温柔很可爱滴   哈哈＼(^▽^)／！土味顺口溜"""
女友在线冲浪,Sun Mar 15 21:16:46 +0800 2020,2,9703,,""""""
单相思念,Sun Mar 15 20:58:46 +0800 2020,2,9623,,"""笑死我了"""
圆木kun,Sun Mar 15 20:51:59 +0800 2020,2,9595,,"""怎么办，他好好笑哦"""
栩秀,Sun Mar 15 19:55:27 +0800 2020,2,9405,,"""哇，蔡徐坤真的好可爱嘛呀cxk为啥这么可爱想rua巨C@蔡徐坤"""
小瑞痴蔡o3o,Sun Mar 15 19:27:29 +0800 2020,2,9300,,"""哈哈哈哈哈可可爱爱蔡小葵"""
坤de桔纸水,Sun Mar 15 18:21:20 +0800 2020,2,8985,,"""蔡徐坤 cxk  我来了"""
葵葵滑滑梯,Sun Mar 15 17:53:23 +0800 2020,2,8849,,"""哈哈哈哈"""
Yaxi全世界,Sun Mar 15 17:48:39 +0800 2020,2,8828,,"""你也太好笑了，我的宝贝！掩不住的笑脸"""
甜柚超爱的奎葵,Sun Mar 15 17:36:47 +0800 2020,2,8749,,"""蔡徐坤冲呀我的天哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈太可爱了"""
东方小葵,Sun Mar 15 17:33:14 +0800 2020,2,8726,,"""这一次很聪明的控制住自己不可以剧透，蔡徐坤要被憋死了"""
爱坤de茉,Sun Mar 15 17:25:57 +0800 2020,2,8666,,"""严格又温柔的蔡pd"""
白月光_坤,Sun Mar 15 14:10:05 +0800 2020,2,4691,,"""啊哈哈哈哈嗝，现在会了，哈哈哈哈哈哈哈"""
女友在线冲浪,Sun Mar 15 14:04:09 +0800 2020,2,4216,,""""""
八零二號公寓,Sun Mar 15 13:57:16 +0800 2020,2,3427,,"""给你制造rs哈哈哈哈哈#蔡徐坤冲呀#"""
Regulus丨Nemea,Sun Mar 15 13:43:05 +0800 2020,2,1002,,"""哈哈哈哈哈哈哈哈哈哈#蔡徐坤冲呀# 上热搜了么？！没有！"""
枕星河入葵梦,Sun Mar 15 13:42:46 +0800 2020,2,925,,"""我还是那个我"""
枕星河入葵梦,Sun Mar 15 13:42:38 +0800 2020,2,893,,"""冲呀！！！"""
一只可爱的小熊呀,Sun Mar 15 13:41:56 +0800 2020,2,740,,"""我来啦 #蔡徐坤点评#"""
徐坤的泪痣,Sun Mar 15 13:40:34 +0800 2020,2,462,,"""蔡PD我来啦，冲呀"""
Kun·DerJiDolKar_,Mon Mar 16 22:54:56 +0800 2020,1,10769,,"""严厉且温柔又可爱的蔡PD💛"""
可爱的kakawo,Mon Mar 16 20:40:33 +0800 2020,1,10711,,"""造句有点土"""
-GNUOY雨_,Mon Mar 16 20:33:09 +0800 2020,1,10708,,"""蔡PD我来啦"""
liwu姐姐,Mon Mar 16 18:59:37 +0800 2020,1,10633,,"""有没有可能转告他，他的80后真妈粉也很多很多～各个年龄段的都有，真的都是被他人格魅力和舞台吸引而来的～～"""
蔡小葵的ikun姐姐,Mon Mar 16 18:47:13 +0800 2020,1,10606,,"""蔡代表好可爱啊"""
女友在线冲浪,Sun Mar 15 13:49:22 +0800 2020,1,2310,,"""哼"""
女友在线冲浪,Sun Mar 15 13:40:29 +0800 2020,1,442,,"""什么什么！！"""
你管我别管我谁管我,Sun Mar 15 13:42:41 +0800 2020,2,907,,"""新采访来咯"""
Dear_困的小kun,Sun Mar 15 13:34:01 +0800 2020,4,3,,"""蔡徐坤好帅！"""
