Usename,Time,Like_count,Floor_number,Sourse,Comments
涂涂跑了,Mon Mar 16 19:50:16 +0800 2020,0,326,,"""都不容易"""
August_迷路女孩,Mon Mar 16 19:27:28 +0800 2020,0,308,,""""""
小歪歪酱,Mon Mar 16 19:20:28 +0800 2020,0,301,,"""蔡徐坤我太喜欢他了！！！"""
SHAN---李郦珊,Mon Mar 16 19:20:24 +0800 2020,0,300,,"""啊啊啊"""
晚安每天12点前睡觉,Mon Mar 16 19:16:54 +0800 2020,0,297,,"""ella姐真的很好"""
_茜茜___,Mon Mar 16 19:14:39 +0800 2020,0,295,,"""Ella老师真的好好呀"""
萱在I心,Mon Mar 16 19:09:04 +0800 2020,0,288,,"""吃得苦中苦方为人上人，网络暴力不可取！"""
ZYKXH,Mon Mar 16 18:42:32 +0800 2020,0,238,,"""感觉明星是明星也是普通人哎……"""
Vineyard-,Mon Mar 16 18:19:54 +0800 2020,1,205,,"""哈哈哈哈哈好可爱啊"""
-你曾是少年_,Mon Mar 16 18:16:58 +0800 2020,0,200,,"""哈哈哈哈哈哈"""
幂的安安-Amber,Mon Mar 16 18:10:56 +0800 2020,0,190,,""""""
大头是宁爹爹,Mon Mar 16 18:03:56 +0800 2020,0,170,,"""唉"""
飞雪樱知,Mon Mar 16 18:03:46 +0800 2020,0,168,,"""通透的中性人"""
杭杭滴微笑,Mon Mar 16 17:54:33 +0800 2020,0,139,,"""😂😂😂寶哥"""
三也兀,Mon Mar 16 17:51:23 +0800 2020,0,117,,""""""
寵愛-Sheh,Mon Mar 16 17:49:40 +0800 2020,0,109,,""""""
VISUALREFINE,Mon Mar 16 17:46:48 +0800 2020,0,96,,"""Ella.好可爱啊！pick蔡学长！"""
二十来岁的Fairy,Mon Mar 16 17:42:36 +0800 2020,0,86,,"""小坤一直都很好，不管是舞台还是为人……黑子都是从未了解过他的人"""
起司我惹,Mon Mar 16 17:38:57 +0800 2020,0,71,,""""""
小仙女吃不饱,Mon Mar 16 17:33:18 +0800 2020,0,27,,""""""
向瑾翔,Mon Mar 16 22:34:33 +0800 2020,1,417,,"""加滑就是小太阳啊，温暖！又正能量"""
小猪超级困_K,Mon Mar 16 17:58:46 +0800 2020,0,154,,""""""
小问号路人朋友,Mon Mar 16 17:41:11 +0800 2020,2,82,,"""ella的访谈我太爱了"""
Hayleyyy呆桃,Tue Mar 17 14:03:19 +0800 2020,1,629,,"""有点被蔡徐坤圈粉之前是路黑现在是路粉，他性格蛮好的"""
金刚萝莉吖,Tue Mar 17 12:07:17 +0800 2020,1,604,,"""SHE是童年的光哎，Ella老师既有深度又有笑点，喜欢喜欢"""
ikun微笑妮妮,Tue Mar 17 10:40:17 +0800 2020,1,563,,"""ella我一直很喜欢她，因为我是86年的现在喜欢蔡徐坤超级超级喜欢～哈哈哈"""
桔子青呢,Tue Mar 17 08:51:14 +0800 2020,1,514,,"""蔡徐坤太惨了，骂他的人没有心"""
MR小虫口内,Tue Mar 17 00:28:16 +0800 2020,1,468,,"""好想she演唱会"""
