,Usename,Time,Like_count,Comments,blogger,weight,sentiments,isFan
112,请一定加油,Wed Mar 18 12:41:51 +0800 2020,9,"""时间会带走很多记忆，但作品会永远留下来，@蔡徐坤 回应各种目光的的就是他的作品。""",fashion,4.5,0.9995743300697943,False
113,芝麻汤圆5粒起,Thu Mar 12 21:56:50 +0800 2020,9,"""直到现在都不懂为啥当初他会被全网黑""",hld,4.5,0.1486289679521522,False
114,绿眼的喵,Fri Apr 03 01:54:05 +0800 2020,9,"""啊啊啊啊啊啊 他说完翻译老师 然后笑的那一下也太甜了吧 啊啊啊啊啊""",xmtz,4.5,0.9997186172457209,False
115,糯叽叽脆脆鲨,Thu Mar 12 22:33:32 +0800 2020,9,"""有偶那会儿的味了小蔡回来了""",hld,4.5,0.7608573538582887,False
116,我爸叫我小困鹅,Thu Mar 12 21:58:49 +0800 2020,8,"""求求大家没看偶的去看!""",hld,4.0,0.027125903947175845,True
117,敏敏爱奎葵哥,Fri Apr 03 01:22:00 +0800 2020,8,"""作者大大有原视频嘛?可以放出来吗，有配乐听不太清坤说了些啥""",xmtz,4.0,0.3205157915527155,True
118,Linki-KUN,Thu Mar 12 22:44:11 +0800 2020,8,"""没想到我等到的cut居然不是Ikun出的""",qnjf,4.0,0.07705705385893136,True
119,蛋挞最好次,Thu Mar 12 22:32:50 +0800 2020,8,"""无脑跟风黑真的没多大意思。""",hld,4.0,0.048644533169400206,False
120,SSSimona_,Thu Mar 12 23:13:53 +0800 2020,8,"""谢谢！蔡徐坤确实长这样！大家认识一下！不要云想象了！""",hld,4.0,0.9756286317391817,False
121,乐天天天都lucky,Fri Apr 03 01:19:45 +0800 2020,8,"""他到底为什么这么可爱 笑得也太灿烂了吧[淚]""",xmtz,4.0,0.9655703142106153,False
122,卡幼恩·特特,Wed Mar 18 12:33:42 +0800 2020,8,"""他说的都做到了""",fashion,4.0,0.41458739662480126,False
123,大米胖大小姐,Thu Mar 12 22:28:17 +0800 2020,8,"""哇塞你真是业界良心！""",qnjf,4.0,0.27042220964372354,False
124,每天至少喝八杯水吖,Fri Mar 13 01:26:22 +0800 2020,7,"""这节目以后 大家对蔡徐坤有了更多更好的认识 甚至路转粉 都让我很开心  我虽然不是粉丝 但是这孩子被跟风黑那段时间 确实让人很心疼  希望以后会好起来！！！！""",hld,3.5,0.9996080384685712,False
125,我和理智谈了三年恋爱mio,Fri Mar 13 01:19:26 +0800 2020,7,"""我正在补偶。总觉得他上一秒在巴比龙，下一秒又在1234Young。好恍惚啊。""",hld,3.5,0.9962404799821275,False
126,冰冰冰冰今天早睡早起了吗,Thu Mar 12 22:09:01 +0800 2020,7,"""希望大家慢慢的知道他究竟是一个什么样的人吧，了解了就知道他根本不是有些人想的那样。他善良，他绅士，他优秀，他身上有着最美好的品质。""",hld,3.5,0.9998812398558746,False
127,Superficial_KUN,Thu Mar 12 21:57:39 +0800 2020,7,"""蔡徐坤真的很棒""",hld,3.5,0.9734712264616927,True
