,Usename,Time,Like_count,Comments,blogger,sentiments,weight,isFan
114,蔡徐坤TOUR_MEETING,Thu Mar 12 20:04:53 +0800 2020,130.0,"""蔡PD终于来了！！！我始终相信只要付出努力就能得到回报，因为巨c舞台王者蔡徐坤就是这样来的！@蔡徐坤""",mgyl,0.9887103127710198,65.0,True
115,大奎的佳宝,Sun Mar 15 13:41:07 +0800 2020,123.0,"""哈哈哈哈好可爱""",xlzy,0.9773510495340744,61.5,False
116,超级小葵Hua,Sun Mar 15 13:36:58 +0800 2020,121.0,"""哈哈 太可爱了 这土味顺口溜竟然还不错""",xlzy,0.7314644750060882,60.5,True
117,K幼恩初见藍玫瑰,Thu Mar 12 20:05:16 +0800 2020,121.0,"""坚持热爱""",mgyl,0.8305084745762713,60.5,False
118,困困坤坤困困cxk,Mon Mar 16 17:38:36 +0800 2020,117.0,"""谢谢Ella姐姐对蔡蔡的照顾~网络暴力尚来伤人，只能说未知全貌不予置评吧。""",xlyl,0.9948707606675686,58.5,True
119,Joyce_丹,Thu Mar 12 13:03:37 +0800 2020,113.0,"""这些都是蔡徐坤走过的路，世界上没有完全的感同身受，但是会有将心比心。@蔡徐坤 一直在尽自己的力量，帮助教导大家追梦""",wyyl,0.9999982561527055,56.5,False
120,yuncifangLover,Mon Mar 16 18:23:34 +0800 2020,111.0,"""S.H.E现在还没有内地女团可以超越是真的厉害，我始终觉得娱乐圈实力才是硬道理""",xlyl,0.9679661381708845,55.5,False
121,八月恋雪葵,Thu Mar 26 19:49:25 +0800 2020,110.0,"""可爱又有梗，期待今晚蔡pd  @蔡徐坤""",wbzy,0.9978300227920386,55.0,True
122,零玖贰壹壹丌,Mon Mar 16 17:32:00 +0800 2020,110.0,"""人心本来都是肉肉长的，但不论是谁的黑子都没有心""",xlyl,0.9778880950126437,55.0,False
123,八月的小狮子冲呀,Mon Mar 16 17:34:56 +0800 2020,108.0,"""所以不要跟风黑任何一个人 了解之后再评价吧""",xlyl,0.12928832352546815,54.0,True
124,DAY肖夫人TOY,Mon Mar 16 17:32:29 +0800 2020,104.0,"""青你蔡徐坤真的蛮讨喜的""",xlyl,0.9863134320050635,52.0,False
125,菜叶奎葵,Thu Mar 12 13:03:19 +0800 2020,102.0,"""文字版专访我来啦 来看蔡徐坤啦""",wyyl,0.7888395802871365,51.0,True
126,一丝温暖一缕阳光,Thu Mar 12 13:03:42 +0800 2020,102.0,"""来看蔡pd的专访@蔡徐坤""",wyyl,0.9595183121384078,51.0,False
127,伊呀守护小葵花,Thu Mar 12 20:04:29 +0800 2020,95.0,"""别着急回应所有声音，你的作品，是舞台！期待蔡代表""",mgyl,0.940084222075263,47.5,True
128,今天依旧困困的涵涵,Sun Mar 15 13:35:27 +0800 2020,94.0,"""温柔又严格的蔡PD""",xlzy,0.9551099739978949,47.0,True
